dt,rawTX,rawTY,rawTZ,rawYaw,rawPitch,rawRoll,correctedTX,correctedTY,correctedTZ,correctedYaw,correctedPitch,correctedRoll,filteredTX,filteredTY,filteredTZ,filteredYaw,filteredPitch,filteredRoll,mappedTX,mappedTY,mappedTZ,mappedYaw,mappedPitch,mappedRoll
8e-07,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06
6.24e-05,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.00478341,-4.9933e-06,-0.000926053,0.000352341,0,0,0.0119585,-4.9933e-06,-0.000926053,0.000352341
1.58e-05,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.00481169,-5.0498e-06,-0.000931534,0.000354415,0,0,0.0120292,-5.0498e-06,-0.000931534,0.000354415
0.0035024,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.00624046,-7.90449e-06,-0.00120847,0.000459213,0,0,0.0156011,-7.90449e-06,-0.00120847,0.000459213
0.0048747,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.00821661,-1.18622e-05,-0.0015924,0.000604505,0,0,0.0205415,-1.18622e-05,-0.0015924,0.000604505
0.0039572,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.00982061,-1.50848e-05,-0.00190502,0.000722809,0,0,0.0245515,-1.50848e-05,-0.00190502,0.000722809
0.0039283,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.011409,-1.82856e-05,-0.00221553,0.000840312,0,0,0.0285224,-1.82855e-05,-0.00221553,0.000840312
0.0044189,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.011409,-1.82856e-05,-0.00221553,0.000840312,0,0,0.0285224,-1.82855e-05,-0.00221553,0.000840312
0.0029466,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.011409,-1.82856e-05,-0.00221553,0.000840312,0,0,0.0285224,-1.82855e-05,-0.00221553,0.000840312
0.0034728,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.011409,-1.82856e-05,-0.00221553,0.000840312,0,0,0.0285224,-1.82855e-05,-0.00221553,0.000840312
0.0049337,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.011409,-1.82856e-05,-0.00221553,0.000840312,0,0,0.0285224,-1.82855e-05,-0.00221553,0.000840312
